SourcedStatement,SourceType,Name,Title,Justification
LAist shared the report with advocates for landlords and tenants.,Named Organization Sources,LAist,,a news organization
"The National Apartment Association, a trade group for property owners, concluding that California landlords earn 7 cents of profit on average for every dollar of rent.",Named Organization Sources,National Apartment Association,,a trade group for property owners
"The Apartment Association of Greater Los Angeles pointed to recent data from the National Apartment Association, a trade group for property owners, concluding that California landlords earn 7 cents of profit on average for every dollar of rent.",Named Organization Sources,Apartment Association of Greater Los Angeles,,a trade group for property owners
"“What [the report] is trying to do is make a PR effort to lay the groundwork to chip away at what little ability landlords have in L.A. to be able to raise rents and be able to keep up with their costs,” Yukelson said.",Named Person Sources,Daniel Yukelson,with the Apartment Association of Greater Los Angeles,a trade group for property owners
"“Small landlords are able to maintain their profits and draw income above their expenses — they haven't been overly burdened by rent stabilization,” said Christina Boyar, a legal fellow with Public Counsel and a member of the Keep L.A. Housed coalition.",Named Person Sources,Christina Boyar,a legal fellow with Public Counsel and a member of the Keep L.A. Housed coalition,a member of the Keep L.A. Housed coalition
"“The cost of electricity is just going to continue going up,” Yukelson with the Apartment Association said.",Named Person Sources,Daniel Yukelson,with the Apartment Association of Greater Los Angeles,a trade group for property owners
"“As we await the finalized version of this report, it’s heartening to see so much data supporting the policy changes that renters have been demanding — especially when it comes to preventing excessive rent increases that can devastate working families.”",Named Person Sources,Hugo Soto-Martinez,Councilmember,one of the council members who requested the report be commissioned
"“The Los Angeles ceiling and floor are atypically high for rent-controlled cities,” he said.",Named Person Sources,Daniel Flaming,president of the Economic Roundtable and a co-author of the report,a co-author of the report
The report notes that because L.A. has a 3% floor on annual increases — even in years when the consumer price index is lower — landlords have often been allowed to raise rents above inflation.,Document Sources,Economic Roundtable,,a nonprofit research organization the city commissioned to carry out the study
"The report recommends changes that could lower the rent hikes tenants face each year, setting up what is sure to be a fierce debate at city hall.",Document Sources,Economic Roundtable,,a nonprofit research organization the city commissioned to carry out the study
