SourcedStatement,SourceType,Name,Title,Justification
"The new poll, which was conducted in the eight days ended Wednesday and had a 2 percentage point margin of error, showed Harris picking up support among women and Hispanics.",Named Organization Sources,Reuters/Ipsos,,Conducted the poll; provides data for the article's analysis
The conservative U.S. Supreme Court in 2022 struck down women's national right to abortion.,Named Organization Sources,U.S. Supreme Court,,Relevant to the article's discussion of abortion policy
"'It's obvious that running against Harris is more challenging for Trump given the shift in these numbers, but it's certainly not insurmountable,'",Named Person Sources,Matt Wolking,Republican campaign strategist,Worked on Trump's 2020 campaign; provides expert analysis on campaign dynamics
"'We see it in this poll that people are more motivated about the future than the past,'",Named Person Sources,Aimee Allison,Founder of She the People,Leader of a liberal group focused on women of color in elected office; provides contextual insight
"Across four Reuters/Ipsos polls conducted in July, Harris had a 9 point lead among women and a 6 point lead among Hispanics.",Document Sources,Reuters/Ipsos polls (July),,Previous polls conducted by Reuters/Ipsos; relevant to tracking changes in voter preferences
A separate Bloomberg News/Morning Consult poll published later on Thursday showed that Harris was either leading or tied with Trump in each of those states.,Document Sources,Bloomberg News/Morning Consult poll,,External poll published by Bloomberg News/Morning Consult; relevant to comparing electoral prospects
Some 73% of Democratic registered voters in the Reuters/Ipsos poll said they were more excited about voting in November after Harris entered the race.,Unnamed Group of People,Democratic registered voters,,Participants in the Reuters/Ipsos poll; relevant to measuring enthusiasm for the election
"And while a March Reuters/Ipsos poll found that 61% respondents who intended to vote for Biden were doing so mainly to stop Trump, 52% of Harris voters in the August poll were voting to support her as a candidate rather than primarily to oppose Trump.",Unnamed Group of People,Respondents who intended to vote for Biden/Harris voters,,Participants in the Reuters/Ipsos polls; relevant to understanding voter motivations
"Voters picked Trump as having a better approach to managing the U.S. economy, 45% to 36%, a wider margin than Trump had in another Reuters/Ipsos poll this week.",Unnamed Group of People,Voters,,Participants in the Reuters/Ipsos poll; relevant to evaluating economic policy preferences
Some 41% of voters in the poll - and 70% of Democrats - said they were worried the next president might sign a national ban on abortions.,Unnamed Group of People,Voters/Democrats,,Participants in the Reuters/Ipsos poll; relevant to understanding concerns about abortion policy
64% (of Trump voters) saying their choice was more motivated by backing Trump than opposing Harris.,Unnamed Group of People,Trump voters,,Participants in the Reuters/Ipsos poll; relevant to understanding voter motivations
