SourcedStatement,SourceType,Name,Title,Justification
"According to the New York Immigration Coalition,...",Named Organization Sources,New York Immigration Coalition,,expertise in immigrant rights
African Communities Together (ACT) and other partner organizations have successfully challenged Trump’s policies through litigation.,Named Organization Sources,African Communities Together (ACT),,experience challenging Trump’s policies
"“There is concern that they’ll [asylum restrictions] actually be implemented more effectively. Last time, he didn’t expect to win and didn’t have a professional class built around him that could actually get things done in government in general,”",Named Person Sources,Brian Manning,political asylum lawyer and former government asylum officer,expertise in asylum law
"“It is safe to assume that after the many missteps of his first presidency, that his administration would be better equipped to learn from their past mistakes and more effectively attack immigrant communities from the White House,”",Named Person Sources,Marlene Galaz,"Director of Immigrant Rights Policy, New York Immigration Coalition",expertise in immigrant rights policy
"“The stuff about immigration is pretty severe. There are talks around the Project 2025 crowd about eliminating work authorization for asylum seekers, getting rid of TPS, Temporary Protected Status,”",Named Person Sources,Brian Manning,political asylum lawyer and former government asylum officer,expertise in asylum law
"“We anticipate the president, Trump, to use its executive authority to implement these policies — but again, we anticipate we should be able to challenge,”",Named Person Sources,Nils Kinuani,Federal Policy Manager at African Communities Together (ACT),expertise in federal policy and experience challenging Trump’s policies
Project 2025 is a plan created by a conservative think tank with ties to Trump that lays out what the president should change in the first 180 days after taking office.,Document Sources,conservative think tank (publishing organization not specified),,with ties to Trump
"Additional anti-asylum measures in Project 2025 include increasing the credible fear threshold, limiting the funds assigned to NGOs helping asylum seekers and codifying asylum bars and the third country transit rules.",Document Sources,conservative think tank (publishing organization not specified),,with ties to Trump
Fifty-two percent of 170 respondents said they need more information about what will happen to asylum.,Unnamed Group of People,Spanish-speaking readers,,our Spanish-speaking readers what they are most concerned with regarding the upcoming election
"An estimated 201,000 asylum seekers have passed through the city since 2022, many of whom were passengers on these Texas-funded buses.",Unnamed Group of People,asylum seekers,,passengers on these Texas-funded buses
"An estimated 64,000 migrants still remain under NYC’s care.",Unnamed Group of People,migrants,,under NYC’s care
