SourcedStatement,SourceType,Name,Title,Justification
"the government of Texas bussed migrants, crossing into the U.S. since the spring of 2022, to Democrat strongholds in Chicago and New York City.",Named Organization Sources,Government of Texas,,initiator of migrant bussing program
"“It is safe to assume that after the many missteps of his first presidency, that his administration would be better equipped to learn from their past mistakes and more effectively attack immigrant communities from the White House,”",Named Organization Sources,New York Immigration Coalition,,Marlene Galaz's leadership role and expertise in immigrant rights policy
"“We anticipate the president, Trump, to use its executive authority to implement these policies — but again, we anticipate we should be able to challenge,”",Named Organization Sources,African Communities Together (ACT),,Nils Kinuani's expertise in federal policy and experience working with immigrant communities
"“There is concern that they’ll [asylum restrictions] actually be implemented more effectively. Last time, he didn’t expect to win and didn’t have a professional class built around him that could actually get things done in government in general,”",Named Person Sources,Brian Manning,political asylum lawyer and former government asylum officer,expertise in asylum law and experience as a government asylum officer
"“It is safe to assume that after the many missteps of his first presidency, that his administration would be better equipped to learn from their past mistakes and more effectively attack immigrant communities from the White House,”",Named Person Sources,Marlene Galaz,"Director of Immigrant Rights Policy, New York Immigration Coalition",leadership role in immigrant rights policy
"“The stuff about immigration is pretty severe. There are talks around the Project 2025 crowd about eliminating work authorization for asylum seekers, getting rid of TPS, Temporary Protected Status,”",Named Person Sources,Brian Manning,political asylum lawyer and former government asylum officer,expertise in asylum law and experience as a government asylum officer
"“We anticipate the president, Trump, to use its executive authority to implement these policies — but again, we anticipate we should be able to challenge,”",Named Person Sources,Nils Kinuani,Federal Policy Manager at African Communities Together (ACT),expertise in federal policy and experience working with immigrant communities
"As Documented covered in the past, this led to the expulsion of more than 2.8 million people.",Document Sources,Documented,,previous reporting by Documented on the topic
Project 2025 is a plan created by a conservative think tank with ties to Trump that lays out what the president should change in the first 180 days after taking office.,Document Sources,Project 2025,,plan created by a conservative think tank with ties to Trump
Fifty-two percent of 170 respondents said they need more information about what will happen to asylum.,Unnamed Group of People,Spanish-speaking readers,,"readers of Documented, surveyed about their concerns regarding the upcoming election"
"An estimated 201,000 asylum seekers have passed through the city since 2022, many of whom were passengers on these Texas-funded buses.",Unnamed Group of People,asylum seekers,,"individuals who have passed through NYC since 2022, many arriving via Texas-funded buses"
"An estimated 64,000 migrants still remain under NYC’s care.",Unnamed Group of People,migrants,,individuals currently under NYC’s care
