SourcedStatement,SourceType,Name,Title,Justification
"Three other counties in the Bay Area — Alameda, Contra Costa and San Mateo — had between 2,100 and 4,700 homeless students enrolled in their schools in 2023.",Named Organization Sources,California Department of Education,,according to the state
"“He’s a very smart kid,” Campa said. “He listens.”",Named Person Sources,Juanita Campa,,Campa said
"“It goes back to economic hardships, loss of jobs, displacement. There’s just a number of reasons why our families are growing in our (homeless youth) population,” Almazan said. “And some of our families haven’t bounced back from that yet.”",Named Person Sources,Imee Almazan,Superintendent,Almazan said
"“We have students who are living in shelters. We actually have foster youth that are unhoused as well,” Adalat said.",Named Person Sources,Maryam Adalat,Director of Student Services,Adalat said
"“There are a number of kids that we knew who were homeless who would show up late. Before we brought them to the classroom, we bring them to the cafeteria and grab them something to eat and grab them some milk so that they can have something in their stomach before they went into the classroom,” Artigas said.",Named Person Sources,Annya Artigas,Director of Social Emotional Learning,Artigas said
"“Whenever a child presents inside a classroom, all of those things come with that child. And all of those things are impacting their ability to engage, their ability to receive information and process it and retain it,” Artigas said.",Named Person Sources,Annya Artigas,Director of Social Emotional Learning,Artigas said
"“They leave the home really traumatized to begin with, and then they end up on the streets,” Smith said.",Named Person Sources,Maureen Smith,Professor,Smith said
"“I felt like I wasn’t doing my job as a mom because we’re homeless,” Campa said “We were working but it wasn’t enough. ... I don’t want to be back here.”",Named Person Sources,Juanita Campa,,Campa said
"Since 2020, the number of homeless students in Santa Clara County has almost doubled, according to the California Department of Education.",Document Sources,California Department of Education,,according to the California Department of Education
"About 1,200 students in the East Side Union High School District and Alum Rock Union School District were reported to be homeless in 2024 — three times the number of homeless students in 2020.",Document Sources,California Department of Education,,according to the state
"Out of the 1,974 homeless students enrolled at East Side in 2022-2023, 488 were living in temporary shelters, according to the state education department, while 75 students were living in hotels and motels, and 33 students were temporarily unsheltered or living in abandoned buildings, campgrounds, vehicles, trailer parks or train and bus stations.",Document Sources,California Department of Education,,according to the state education department
