SourcedStatement,SourceType,Name,Title,Justification
"Residential building codes for traditional, site-built housing are set by state and local governments.",Named Organization Sources,state and local governments,,state and local governments
"Manufactured housing, which is built off-site and shipped to its destination, is regulated by the U.S. Department of Housing and Urban Development.",Named Organization Sources,U.S. Department of Housing and Urban Development,,regulated by the U.S. Department of Housing and Urban Development
"Housing wonks have long singled out HUD's requirement that manufactured homes sit on a permanent steel chassis, even once they're delivered, as a major headwind on manufactured home productions.",Named Organization Sources,HUD,,HUD's requirement that manufactured homes sit on a permanent steel chassis
"This past week, I reported that the U.S. Department of Housing and Urban Development (HUD) gave the AIDS Healthcare Foundation (AHF), along with the Massachusetts Alliance of HUD Tenants, a $10 million grant which they will jointly distribute to tenant associations at privately owned, federally subsidized multifamily housing.",Named Organization Sources,U.S. Department of Housing and Urban Development,,"gave the AIDS Healthcare Foundation (AHF), along with the Massachusetts Alliance of HUD Tenants, a $10 million grant"
"This past week, I reported that the U.S. Department of Housing and Urban Development (HUD) gave the AIDS Healthcare Foundation (AHF), along with the Massachusetts Alliance of HUD Tenants, a $10 million grant which they will jointly distribute to tenant associations at privately owned, federally subsidized multifamily housing.",Named Organization Sources,AIDS Healthcare Foundation,,"gave the AIDS Healthcare Foundation (AHF), along with the Massachusetts Alliance of HUD Tenants, a $10 million grant"
"This past week, I reported that the U.S. Department of Housing and Urban Development (HUD) gave the AIDS Healthcare Foundation (AHF), along with the Massachusetts Alliance of HUD Tenants, a $10 million grant which they will jointly distribute to tenant associations at privately owned, federally subsidized multifamily housing.",Named Organization Sources,Massachusetts Alliance of HUD Tenants,,"gave the AIDS Healthcare Foundation (AHF), along with the Massachusetts Alliance of HUD Tenants, a $10 million grant"
"HUD's decision to give this grant to AHF is highly questionable, given the organization's track record of managing its own residential properties.",Named Organization Sources,HUD,,"HUD's decision to give this grant to AHF is highly questionable, given the organization's track record of managing its own residential properties"
"While many of these problems are common at residential hotels on Skid Row, AHF-managed properties were more frequently hit with code complaints and emergency calls than similar properties, reported the Times.",Named Organization Sources,AHF,,AHF-managed properties
"Just yesterday, AHF settled a class action lawsuit filed by tenants of one its Los Angeles buildings.",Named Organization Sources,AHF,,AHF settled a class action lawsuit filed by tenants of one its Los Angeles buildings
"The nonprofit agreed to refund tenants a portion of their rent, hire an elevator consultant, and work with pest control experts to fight bug infestations in its buildings.",Named Organization Sources,AHF,,The nonprofit
"HUD told me in a statement that AHF ""is part of a team that applied for these awards.",Named Organization Sources,HUD,,HUD told me in a statement
"The team is not only eligible, but the best qualified applicant.""",Named Organization Sources,HUD,,HUD told me in a statement
"According to HUD, that's not the case.",Named Organization Sources,HUD,,According to HUD
"Seattle's Mandatory Housing Affordability (MHA) Program, like all ""inclusionary zoning"" programs, is predicated on the idea that building new housing somehow makes housing less affordable.",Named Organization Sources,Seattle's Mandatory Housing Affordability (MHA) Program,,Seattle's Mandatory Housing Affordability (MHA) Program
"When Seattle upzoned the city's ""urban villages"" to allow denser construction under the MHA program, it also required developers to offset the alleged affordability impacts of their new, larger projects by either building below-market-rate housing or paying an in-lieu affordable housing fee.",Named Organization Sources,Seattle,,"When Seattle upzoned the city's ""urban villages"" to allow denser construction under the MHA program"
City staff warned that fewer projects would be feasible under the costs of the MHA's affordable housing mandates.,Named Organization Sources,City staff,,City staff
"The city is being sued by one Seattle homeowner over a $77,000 MHA fee that was charged when trying to add more units on her property to house her adult children.",Named Organization Sources,city,,The city
"The vast majority of subsidized housing units in Washington, D.C., aren't making enough money to cover their operating expenses, reports BisNow.",Named Organization Sources,BisNow,,reports BisNow
"More than 80% of housing properties that have received D.C. funding aren't bringing in enough rental income to pay their mortgages and maintenance costs, according to the District's Department of Housing and Community Development.",Named Organization Sources,District's Department of Housing and Community Development,,according to the District's Department of Housing and Community Development
"The scale of the crisis is viewed as existential: 22,000 units that house 48,000 vulnerable residents are at risk of foreclosure today, according to DHCD.",Named Organization Sources,DHCD,,according to DHCD
Atlanta is threatening landlords of allegedly blighted properties with eminent domain if they don't repair their buildings to the city's satisfaction.,Named Organization Sources,Atlanta,,Atlanta is threatening landlords of allegedly blighted properties with eminent domain
"Britain's new Labor government wants to build new towns to combat the country's housing cost crisis, reports The New York Times.",Named Organization Sources,Britain's new Labor government,,Britain's new Labor government
"On Thursday, a group of Republican senators led by Sen. Tim Scott (R–S.C.) introduced the Renewing Opportunity in the American Dream (ROAD) to Housing Act, which proposes a grab bag of reforms to federal housing programs.",Named Person Sources,Tim Scott,Sen.,(R–S.C.)
"Unlike the slew of federal YIMBY (Yes in my backyard) bills that have been introduced in recent years, Scott's bill doesn't try to poke, prod, or bribe local and state governments into liberalizing their zoning codes.",Named Person Sources,Scott,Sen.,(R–S.C.)
