SourcedStatement,SourceType,Name,Title,Justification
Robinson said he was unable to find any of his property at the city’s mandated storage facility at 2323 Cesar Chavez St.,Named Person,Antonio Robinson,null,38-year-old who had chosen to set up camp near Palou Ave. and Griffith St. in Hunters Point
"According to Mayor London Breed, the intention is to clean up sidewalks and force unhoused people into the city’s labyrinthine network of shelter and supportive housing programs.",Named Person,London Breed,Mayor,Mayor of San Francisco
"A federal survey released in May counted more than 8,000 unhoused people in the city, which has fewer than 4,000 shelter beds to offer.",Document,federal survey,null,released in May
"According to Public Works policy, staff are supposed to provide the resident of an encampment a “reasonable amount of time (approximately 30 minutes)” to sort through and collect their belongings before the camp is torn down.",Named Organization,Public Works,null,city Department of Public Works
"“All they do is tell me to go back to the Hunters Point Navigation Center. And I don’t want to do that. I had bad experiences,” he said.",Named Person,Antonio Robinson,null,38-year-old who had chosen to set up camp near Palou Ave. and Griffith St. in Hunters Point
"“I don’t understand,” O’Brien kept repeating.",Named Person,Joey O’Brien,null,"46-year-old neighbor of Robinson, tried to explain to police officers that he was camping on the sidewalk in Hunters Point while investigating a homicide that occurred while he was in jail"
"In a response to Gazetteer's questions about potential breaches in protocol, Public Works spokesperson Rachel Gordon only noted that ""the policy clearly spells out how soiled items can be handled and our crews follow the policy and consistently apply its terms.""",Named Person,Rachel Gordon,spokesperson,Public Works spokesperson
Gordon said claims for lost property can be filed with the City Attorney's office.,Named Person,Rachel Gordon,spokesperson,Public Works spokesperson
"“Typically, with city sweeps, they give 72 hours of notice with location and time, and we were following that, but they didn’t follow that usual rule,” Highsmith said.",Named Person,Julian Highsmith,communications and policy director,for the Coalition on Homelessness
"“I personally think it’s a little suspicious to do the sweep earlier. It doesn’t seem like the city wants attention on the encampment sweeps, and I don’t think they want people to see what happens during that process,” he said.",Named Person,Julian Highsmith,communications and policy director,for the Coalition on Homelessness
"“It’s quiet here,” he said.",Named Person,Antonio Robinson,null,38-year-old who had chosen to set up camp near Pal. and Griffith St. in Hunters Point
