SourcedStatement,SourceType,Name,Title,Justification
"L.A. County’s Breathe program gives participants $1,000 monthly for three years, more money over a longer period than similar programs.",Named Organization Sources,L.A. County,,Administrator of the Breathe guaranteed income program; context for the program's structure and significance.
"Researchers at the University of Pennsylvania are surveying the 1,000 Breathe participants, along with a control group of people not receiving funds.",Named Organization Sources,University of Pennsylvania,,Research institution studying the impact of the Breathe program; providing context for the research methodology.
"Strength Based Community Change also offers workshops on financial literacy, investing and credit repair.",Named Organization Sources,Strength Based Community Change,,Provider of support services to Breathe program participants; highlighting the range of support offered.
"With all the struggling I was doing, my attitude took a hit. The more you witness yourself being down and out, the more you feel down and out, and the more stuck you feel.",Named Person Sources,Kipp Kahlia,null,Recipient of the Breathe program; sharing personal experience of financial struggles and impact of guaranteed income.
"Whenever L.A. city or county or Chicago or New York do something bold like this, it’s a really important signal that this big policy idea found its footing during COVID and represents a possible way forward in terms of supporting low income people across America.",Named Person Sources,Sean Kline,Director of the Stanford Basic Income Lab,Expert in guaranteed income programs; providing context and significance of the Breathe program.
There is so much we don’t know yet. We don’t know how long people need to receive cash to create what level of change.,Named Person Sources,Amy Castro,Director of Penn’s Center for Guaranteed Income Research,Researcher studying the impact of guaranteed income; highlighting the need for further research.
"It’s taking me from always putting out fires to being able to actually make some moves to advance, not just being stuck.",Named Person Sources,Kipp Kahlia,null,Recipient of the Breathe program; sharing progress and impact of guaranteed income on her life and business.
"People need help with normal, everyday interactions that may be easy for some individuals.",Named Person Sources,Brian Arredondo,Coach for program participants,Providing support to Breathe program recipients; illustrating the range of needs participants have beyond financial aid.
It can’t just be the money. It’s the opportunity and the access to experiences sometimes that really make a big difference when there is even a little bit more resources folks can have.,Named Person Sources,Ely Fournier,Overseer of the program coaches at Strength Based Community Change,Expert in supporting guaranteed income recipients; emphasizing the importance of access to experiences beyond financial support.
Advocates point to the expansion of the federal child tax credit as proof that direct cash payments to families reduce poverty. In 2021 child poverty decreased to 9% from 17.6% in 2019.,Document Sources,null,,"Cited as evidence of the effectiveness of direct cash payments in reducing poverty; source likely a published report or data release, but not explicitly named."
"The lab found, in general, that food and groceries are the top way participants are spending money, making up 35% of the funds spent.",Document Sources,Stanford Guaranteed Income Lab,,Research findings from tracking 31 pilot programs; providing data on spending habits of guaranteed income recipients.
"Participants report feeling more free to spend money on self care, outings with family members or sharing their wealth with community members.",Unnamed Group of People,Participants,,Recipients of guaranteed income in various programs; providing anecdotal evidence of the program's impact on mental health and behavior.
"People need help with normal, everyday interactions that may be easy for some individuals.",Unnamed Group of People,"Participants (implied, through coach's experience)",,Recipients of guaranteed income in the Breathe program; illustrating the need for support beyond financial aid.
