Story,No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Justification
1-Harris-Poll,2.0,The 4 percentage point advantage among registered voters was wider than a 1 point lead Harris held over the former president in a late July Reuters/Ipsos poll,Named Organization,Reuters/Ipsos,,
1-Harris-Poll,3.0,"The new poll, which was conducted in the eight days ended Wednesday and had a 2 percentage point margin of error, showed Harris picking up support among women and Hispanics.",Named Organization,Reuters/Ipsos,,"which was conducted in the eight days ended Wednesday and had a 2 percentage point margin of error,"
1-Harris-Poll,4.0,"Harris led Trump by 49% to 36% - or 13 percentage points - among both women voters and Hispanic voters. Across four Reuters/Ipsos polls conducted in July, Harris had a 9 point lead among women and a 6 point lead among Hispanics.",Named Organization,Reuters/Ipsos,,
1-Harris-Poll,5.0,"Trump led among white voters and men, both by similar margins as in July, though his lead among voters without a college degree narrowed to 7 points in the latest survey, down from 14 points in July.",Named Organization,Reuters/Ipsos,,
1-Harris-Poll,6.0,"In the seven states where the 2020 election was closest - Wisconsin, Pennsylvania, Georgia, Arizona, North Carolina, Michigan and Nevada - Trump had a 45% to 43% lead over Harris among registered voters in the poll.",Named Organization,Reuters/Ipsos,,
1-Harris-Poll,7.0,A separate Bloomberg News/Morning Consult poll published later on Thursday showed that Harris was either leading or tied with Trump in each of those states.,Named Organization,Bloomberg News/Morning Consult,,published later on Thursday
1-Harris-Poll,8.0,That poll showed Harris led Trump by 2 percentage points among registered voters across the seven states and was ahead by 1 point — a statistical tie — among likely voters. The margin of error was 1 percentage point across the seven states.,Named Organization,Bloomberg News/Morning Consult,,
1-Harris-Poll,11.0,"Some 73% of Democratic registered voters in the Reuters/Ipsos poll said they were more excited about voting in November after Harris entered the race. And while a March Reuters/Ipsos poll found that 61% respondents who intended to vote for Biden were doing so mainly to stop Trump, 52% of Harris voters in the August poll were voting to support her as a candidate rather than primarily to oppose Trump.",Named Organization,Reuters/Ipsos,,
1-Harris-Poll,13.0,"But Trump voters also voiced enthusiasm about their candidate, with 64% saying their choice was more motivated by backing Trump than opposing Harris.",Named Organization,Reuters/Ipsos,,
1-Harris-Poll,15.0,"Harris, by contrast, had a 47% to 31% advantage on abortion policy. The issue is salient for Democrats after the conservative U.S. Supreme Court in 2022 struck down women's national right to abortion. Trump nominated three conservative justices to the court during his 2017-2021 presidency. Some 41% of voters in the poll - and 70% of Democrats - said they were worried the next president might sign a national ban on abortions.",Named Organization,Reuters/Ipsos,,
1-Harris-Poll,16.0,"The latest poll's survey period partially overlapped with the Aug. 19-22 Democratic National Convention in Chicago where Harris formally accepted her party's nomination, and it remains to be seen whether the same level of enthusiasm for Harris will continue.",Named Organization,Reuters/Ipsos,,"The poll was conducted nationally and gathered responses from 4,253 U.S. adults, including 3,562 registered voters."
1-Harris-Poll,17.0,"Independent candidate Robert F. Kennedy Jr., who suspended his campaign on Aug. 23 while the poll was still being conducted, had the support of 6% of voters in the survey.",Named Organization,Reuters/Ipsos,,
10-Nebraska-voting-rights,7.0,"As of October 2023, 26 states and the District of Columbia had expanded voting rights to people living with felony convictions, according to The Sentencing Project, a nonprofit sentencing advocacy group that studies criminal justice policy. ",Named Organization,The Sentencing Project,,a nonprofit sentencing advocacy group that studies criminal justice policy
11-Nebraska-felons-crim-justice,3.0,"At least 14 states have introduced proposals this year focused on restoration of voting rights, according to the Brennan Center for Justice. An Oregon proposal would allow felons to vote while incarcerated. A Tennessee bill would automatically restore voting rights once a sentence is completed, except for a small group of crimes. Texas legislation would restore voting rights to those on probation or parole.",Named Organization,Brennan Center for Justice.,,
11-Nebraska-felons-crim-justice,5.0,"More than 4.6 million people are disenfranchised in the United States because of felony convictions, according to the Sentencing Project, which studies the issue and advocates for restoration of voting rights for former felons.",Named Organization,Sentencing Project,,which studies the issue and advocates for restoration of voting rights for former felons.
12-kids-lead-poisoning,1.0,"In South Memphis, for instance, about 96% of residents are Black, and about 91% of homes were built prior to 1978, according to the U.S. Census Bureau.
",Named Organization,U.S. Census Bureau,,
14-many-police-calls,8.0,"According to police, the Brattleboro individual most reported (identified only as someone cited in 63 calls for the first half of this year) was acting criminally just 14% of the time. ",Named Organization,Police,,
15-Newsom-declares-emergency,3.0,"A spokesperson for Southern California Edison on Monday said the power outages will impact some homes longer than others: They say 20 will be without power indefinitely and 38 will be without power for one to three weeks. The rest were slated to be without power for 24 hours.
",Named Organization,Southern California Edison ,,
15-Newsom-declares-emergency,4.0,"On Thursday, SoCalGas announced that it was shutting off gas service to additional 29 homes in the western Seaview area and another 25 homes in the Portuguese Bend Beach Club starting at 3 p.m. Friday. The shut-offs are expected to last indefinitely, the utility added.",Named Organization,SoCalGas,,
15-Newsom-declares-emergency,11.0,A spokesperson for Southern California Edison told LAist that the utility is not providing generators because they feel the ground is too unstable for that to be a long-term solution.,Named Organization,Southern California Edison ,,Many impacted residents have purchased generators so they can stay on their properties despite power outages.
15-Newsom-declares-emergency,14.0,The city states on its website that it is working to identify “hotels and other accommodations that can offer discounted rates for residents.” ,Named Organization,Rancho Palos Verdes City,,
15-Newsom-declares-emergency,15.0,"On Sunday, Southern California Edison officials said they will provide a vehicle to serve people who need to charge devices or get information. That customer care vehicle will be parked on Narcissa Drive at the Pepper Wood gate, starting Sunday through Tuesday. The hours of operation are from 10 a.m. to 6 p.m.
",Named Organization,Southern California Edison ,,
