SourcedStatement,SourceType,Name,Title,Justification
"To reduce such evictions, one of the court’s judges, Deborah Henderson; Shelby County Commissioner Erika Sugarmon; and Cindy Ettingoff, then-CEO of Memphis Area Legal Services, last summer secured $240,000 in the county budget to pilot a pre-litigation mediation program for landlord-tenant disputes.",Named Organization Sources,Memphis Area Legal Services,,MALS is the organization implementing the landlord-tenant mediation program.
The initial goal was for MALS to use the money to hire a few employees — including a former code inspector since property conditions almost always drive the disputes.,Named Organization Sources,Memphis Area Legal Services,,MALS is the organization implementing the landlord-tenant mediation program.
"Ultimately, MALS wasn’t able to launch the program in earnest until June.",Named Organization Sources,Memphis Area Legal Services,,MALS is the organization implementing the landlord-tenant mediation program.
"Recently, MALS worked with a woman who was living in a house that “should not be lived in by anyone” and was starting to fall behind on rent, Henderson said.",Named Organization Sources,Memphis Area Legal Services,,MALS is the organization implementing the landlord-tenant mediation program.
"For the program to succeed, Grida said raising greater awareness will be key, as most Memphians it could help don’t yet know it exists.",Named Organization Sources,Memphis Area Legal Services,,MALS is the organization implementing the landlord-tenant mediation program.
"To reduce such evictions, one of the court’s judges, Deborah Henderson; Shelby County Commissioner Erika Sugarmon; and Cindy Ettingoff, then-CEO of Memphis Area Legal Services, last summer secured $240,000 in the county budget to pilot a pre-litigation mediation program for landlord-tenant disputes.",Named Person Sources,Deborah Henderson,Judge,Henderson is one of the judges who helped secure funding for the program.
"To reduce such evictions, one of the court’s judges, Deborah Henderson; Shelby County Commissioner Erika Sugarmon; and Cindy Ettingoff, then-CEO of Memphis Area Legal Services, last summer secured $240,000 in the county budget to pilot a pre-litigation mediation program for landlord-tenant disputes.",Named Person Sources,Erika Sugarmon,Shelby County Commissioner,Sugarmon is a county commissioner who helped secure funding for the program.
"To reduce such evictions, one of the court’s judges, Deborah Henderson; Shelby County Commissioner Erika Sugarmon; and Cindy Ettingoff, then-CEO of Memphis Area Legal Services, last summer secured $240,000 in the county budget to pilot a pre-litigation mediation program for landlord-tenant disputes.",Named Person Sources,Cindy Ettingoff,Former CEO of Memphis Area Legal Services,Ettingoff was the CEO of MALS at the time the funding was secured.
"But receiving the money from the county turned into an adventure. The cash didn’t make it to MALS until February 2024, due to problems with how the County Commission resolution was originally drafted, Henderson said.",Named Person Sources,Deborah Henderson,Judge,Henderson is one of the judges who helped secure funding for the program.
"Recently, MALS worked with a woman who was living in a house that “should not be lived in by anyone” and was starting to fall behind on rent, Henderson said.",Named Person Sources,Deborah Henderson,Judge,Henderson is one of the judges who helped secure funding for the program.
Though the program has only helped a couple of tenants so far — not 300 — Henderson believes it’s already proving its value.,Named Person Sources,Deborah Henderson,Judge,Henderson is one of the judges who helped secure funding for the program.
"“There are no income limits or income requirements,” Henderson told a WLOK-AM audience earlier this summer. “If you’re a tenant who is having trouble with your landlord, you need to give us a call. … If you’re a landlord and you have a troublesome tenant … give us a call.”",Named Person Sources,Deborah Henderson,Judge,Henderson is one of the judges who helped secure funding for the program.
"For the program to succeed, Grida said raising greater awareness will be key, as most Memphians it could help don’t yet know it exists.",Named Person Sources,Nicole Grida,CEO of Memphis Area Legal Services,Grida is the current CEO of MALS and is involved in the program's implementation.
"Meanwhile, Grida said MALS is looking for other funders interested in backing the effort.",Named Person Sources,Nicole Grida,CEO of Memphis Area Legal Services,Grida is the current CEO of MALS and is involved in the program's implementation.
"To drum up more business, Henderson and MALS attorney Cedric Harris, who is leading the program, have been spending a few nights and weekends this summer speaking to churches, on radio shows and at other events.",Unnamed Group of People,churches,,Henderson and Cedric Harris are engaging with community groups to raise awareness about the program.
"To drum up more business, Henderson and MALS attorney Cedric Harris, who is leading the program, have been spending a few nights and weekends this summer speaking to churches, on radio shows and at other events.",Unnamed Group of People,radio shows,,Henderson and Cedric Harris are engaging with community groups to raise awareness about the program.
"To drum up more business, Henderson and MALS attorney Cedric Harris, who is leading the program, have been spending a few nights and weekends this summer speaking to churches, on radio shows and at other events.",Unnamed Group of People,other events,,Henderson and Cedric Harris are engaging with community groups to raise awareness about the program.
"The cash didn’t make it to MALS until February 2024, due to problems with how the County Commission resolution was originally drafted, Henderson said.",Anonymous Sources,null,null,Henderson said; Henderson is one of the judges who helped secure funding for the program.
"Ultimately, MALS wasn’t able to launch the program in earnest until June.",Anonymous Sources,null,null,Henderson said; Henderson is one of the judges who helped secure funding for the program.
